Site,Depth,Sand,Silt,Clay,BulkD,Th33,Th1500,Theta_r,Theta_s,Alpha,N,Ks,Ko,L
ANT2,75,46.5,27.4,26.1,1.71,0.293,0.138,0.045,0.356,0.056,1.4,3,1.7,0.1
ANTL,5,77.5,14.8,7.7,1.19,0.064,0.011,0.011,0.457,0.761,1.65,446.5,136.8,-0.88
ANTL,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
ANTL,25,78,16.3,5.7,1.26,0.062,0.008,0.008,0.435,0.731,1.63,390.3,112.7,-0.91
ANTL,45,78.1,16.3,5.6,1.67,0.091,0.009,0.009,0.324,0.449,1.41,92.5,30.8,-1.19
ANTL,60,76.8,16.3,6.9,1.92,0.109,0.013,0.013,0.271,0.289,1.36,27.3,17.9,-1.17
ANTL,75,80,8.8,11.3,1.95,0.102,0.019,0.018,0.273,0.348,1.36,51.7,20.9,-1.32
APAC,5,76.9,11.3,11.9,1.41,0.126,0.035,0.022,0.409,0.491,1.38,211.3,41.1,-1.21
APAC,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
APAC,25,59.4,19.4,21.3,1.48,0.175,0.08,0.038,0.393,0.355,1.36,77,20.3,-1.24
APAC,45,38.7,30.7,30.7,1.5,0.263,0.135,0.053,0.397,0.147,1.34,15.1,5.3,-0.74
APAC,60,31.6,33.9,34.5,1.59,0.291,0.162,0.057,0.389,0.12,1.31,6.8,3.6,-0.74
APAC,75,32.3,28.8,38.8,1.66,0.308,0.195,0.06,0.382,0.145,1.24,4.5,4,-1.49
ARD2,5,33.6,34.1,32.2,1.29,0.223,0.128,0.065,0.446,0.369,1.36,37,19.7,-1.39
ARD2,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
ARD2,25,27,33.7,39.4,1.52,0.314,0.181,0.064,0.414,0.115,1.3,8.4,3.3,-0.7
ARD2,45,13.6,31.3,55,1.49,0.376,0.246,0.075,0.454,0.11,1.24,8.7,2.7,-1.06
ARD2,60,11.2,33.8,54.9,1.63,0.365,0.261,0.071,0.416,0.163,1.18,3.2,3.7,-2.9
ARD2,75,11.3,35.7,53,1.67,0.363,0.253,0.066,0.406,0.131,1.18,2.1,3.1,-2.36
ARNE,5,45.5,31.1,23.4,1.53,0.223,0.091,0.037,0.372,0.146,1.38,20.7,6.4,-0.54
ARNE,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
ARNE,25,36.9,35.7,27.4,1.35,0.211,0.103,0.047,0.419,0.288,1.36,30.4,15.5,-1.09
ARNE,45,35,35.1,30,1.37,0.193,0.108,0.057,0.417,0.401,1.39,34,21.7,-1.36
ARNE,60,38.8,30.6,30.6,1.43,0.205,0.111,0.055,0.406,0.332,1.36,36.2,15.6,-1.34
ARNE,75,43.3,26.8,30,1.48,0.209,0.114,0.055,0.396,0.312,1.35,38.8,13.6,-1.38
BEAV,5,40.6,35.1,24.3,1.47,0.242,0.109,0.043,0.389,0.146,1.37,16.7,6.1,-0.56
BEAV,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
BEAV,25,29,41,30.1,1.34,0.247,0.12,0.052,0.427,0.193,1.36,21.5,8.7,-0.77
BEAV,45,24.2,42.4,33.4,1.37,0.245,0.139,0.065,0.427,0.273,1.33,19.5,11.1,-1.33
BEAV,60,32.2,37.1,30.7,1.41,0.192,0.128,0.079,0.406,0.48,1.45,29.3,20.4,-1.57
BEAV,75,35.1,33.1,31.8,1.45,0.234,0.119,0.053,0.404,0.215,1.34,23.2,8.9,-1.02
BESS,5,26,50.5,23.6,1.36,0.266,0.121,0.047,0.413,0.125,1.39,20,5.2,-0.32
BESS,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
BESS,25,32.1,50.3,17.6,1.24,0.192,0.093,0.038,0.423,0.382,1.37,35.5,26.7,-1.15
BESS,45,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
BESS,60,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
BESS,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
